user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
ERR671911.bin.1.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	51.6	11	0.7293563026166213	N/A
ERR671911.bin.9.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	40.34	11	0.7262343729734931	N/A
ERR671911.bin.4.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	73.15	11	0.7261460732690163	N/A
ERR671911.bin.7.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__	Placement	taxonomic classification fully defined by topology	GCF_000720925.1, s__Phycicoccus jejuensis, 95.0, 80.62, 0.73; GCF_002846495.1, s__Phycicoccus duodecadis, 95.0, 80.39, 0.68; GCF_001428065.1, s__Phycicoccus sp001428065, 95.0, 80.2, 0.66; GCF_000367525.1, s__Phycicoccus elongata, 95.0, 78.49, 0.42	53.77	11	0.9333559233280128	N/A
ERR671911.bin.12.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	62.66	11	0.8729539539102391	N/A
ERR671911.bin.11.orig	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	35.32	11	0.7357810311996862	N/A
ERR671911.bin.8.orig	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__20CM-4-69-9;f__20CM-4-69-9;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001914705.1	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__20CM-4-69-9;f__20CM-4-69-9;g__13-2-20CM-68-14;s__13-2-20CM-68-14 sp001914705	77.69	0.27	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__20CM-4-69-9;f__20CM-4-69-9;g__;s__	Placement	taxonomic novelty determined using RED	N/A	40.08	11	0.8370709997210767	Genome has more than 11.7% of markers with multiple hits
ERR671911.bin.6.orig	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	46.59	11	0.7837332695900416	N/A
ERR671911.bin.3.orig	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	N/A	N/A	N/A	N/A	N/A	GCF_900110395.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp900110395	91.06	0.98	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	Placement	taxonomic classification fully defined by topology	GCA_002281855.1, s__Reyranella sp002281855, 95.0, 81.98, 0.84	36.51	11	0.9764334475265958	N/A
ERR671912.bin.5.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	Placement	taxonomic classification fully defined by topology	GCA_000303155.1, s__Nitrososphaera gargensis, 95.0, 76.62, 0.07	47.99	11	0.9159554069159082	N/A
ERR671912.bin.2.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	69.52	11	0.822997472586809	N/A
ERR671912.bin.12.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	82.38	11	0.822489711568531	N/A
ERR671912.bin.6.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__	Placement	taxonomic classification fully defined by topology	GCF_000720925.1, s__Phycicoccus jejuensis, 95.0, 81.03, 0.72; GCF_002846495.1, s__Phycicoccus duodecadis, 95.0, 80.72, 0.67; GCF_001428065.1, s__Phycicoccus sp001428065, 95.0, 80.59, 0.66; GCF_000367525.1, s__Phycicoccus elongata, 95.0, 78.67, 0.43	61.15	11	0.9296294717557861	N/A
ERR671912.bin.7.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	56.85	11	0.8719994814764649	N/A
ERR671912.bin.10.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	67.92	11	0.8700557147484168	N/A
ERR671912.bin.9.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	63.51	11	0.4684512994221003	N/A
ERR671912.bin.11.orig	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	43.69	11	0.78478323730321	N/A
ERR671912.bin.8.orig	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	N/A	N/A	N/A	N/A	N/A	GCF_900110395.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp900110395	89.5	0.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	Placement	taxonomic classification fully defined by topology	GCA_001767945.1, s__Reyranella sp001767945, 95.0, 82.04, 0.61; GCA_001897995.1, s__Reyranella sp001897995, 95.0, 81.9, 0.62; GCA_002281855.1, s__Reyranella sp002281855, 95.0, 81.82, 0.65; GCF_001557035.1, s__Reyranella sp001557035, 95.0, 81.81, 0.65; GCA_003153415.1, s__Reyranella sp003153415, 95.0, 81.77, 0.63; GCF_000312425.1, s__Reyranella massiliensis, 95.0, 81.63, 0.63	40.81	11	0.9804318547606383	N/A
ERR671912.bin.3.orig	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	35.97	11	0.7407711667926289	Genome has more than 13.3% of markers with multiple hits
ERR671913.bin.6.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	64.05	11	0.8236816518827451	N/A
ERR671913.bin.1.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	79.18	11	0.8232259357448826	N/A
ERR671913.bin.5.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__	Placement	taxonomic classification fully defined by topology	GCF_000720925.1, s__Phycicoccus jejuensis, 95.0, 81.18, 0.67; GCF_001428065.1, s__Phycicoccus sp001428065, 95.0, 80.75, 0.61; GCF_002846495.1, s__Phycicoccus duodecadis, 95.0, 80.72, 0.64; GCF_000367525.1, s__Phycicoccus elongata, 95.0, 78.86, 0.4	59.01	11	0.9300718903431764	N/A
ERR671913.bin.2.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	69.88	11	0.8743834679763849	N/A
ERR671913.bin.4.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	49.09	11	0.8686288655276909	N/A
ERR671913.bin.3.orig	d__Bacteria;p__Actinobacteriota;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	65.32	11	0.42345632389914983	N/A
ERR671913.bin.7.orig	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8139;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	49.62	11	0.7402960770975625	N/A
ERR671914.bin.7.orig	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	Placement	taxonomic classification fully defined by topology	N/A	64.05	11	0.9170913459492848	N/A
ERR671914.bin.4.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	Placement	taxonomic classification fully defined by topology	N/A	39.95	11	0.9157469342674469	N/A
ERR671914.bin.6.orig	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	44.63	11	0.7811118306001034	N/A
ERR671914.bin.8.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	41.51	11	0.7801009796483623	N/A
ERR671914.bin.10.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	75.28	11	0.8591818293559748	N/A
ERR671914.bin.9.orig	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__UBA4738;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	58.37	11	0.7369857974969936	N/A
ERR671914.bin.5.permissive	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7966;f__UBA7966;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7966;f__UBA7966;g__;s__	Placement	taxonomic novelty determined using RED	N/A	67.18	11	0.732494394618035	N/A
ERR671915.bin.6.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	Placement	taxonomic classification fully defined by topology	N/A	58.18	11	0.9158086677477236	N/A
ERR671915.bin.3.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	Placement	taxonomic classification fully defined by topology	N/A	56.17	11	0.9140548571977521	N/A
ERR671915.bin.5.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	54.23	11	0.7758309552907291	N/A
ERR671915.bin.1.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	65.28	11	0.8561912977031446	N/A
ERR671915.bin.2.orig	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__UBA4738;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	45.4	11	0.7411130959881345	N/A
ERR671915.bin.4.permissive	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7966;f__UBA7966;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7966;f__UBA7966;g__;s__	Placement	taxonomic novelty determined using RED	N/A	63.51	11	0.7381018776087508	N/A
ERR671916.bin.3.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	Placement	taxonomic classification fully defined by topology	N/A	56.77	11	0.9135557209016039	N/A
