bigg	name	super_class	class	sub_class
23dhmb	(R)-2,3-Dihydroxy-isovalerate	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
23dhmp	(R) 2,3-Dihydroxy-3-methylvalerate	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
23doguln	Diketogulonic acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
23doguln	2,3-Diketo-L-gulonate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
23doguln	2,3-diketogulonate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
24dab	L-2,4-diaminobutyric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
25aics	SAICAR	Nucleosides, nucleotides, and analogues	Imidazole ribonucleosides and ribonucleotides	1-ribosyl-imidazolecarboxamides
26dap_LL	Diaminopimelic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
26dmani	2,6-Dimethylaniline	Benzenoids	Benzene and substituted derivatives	Xylenes
2a3pp	2-Amino-3-phosphonopropionic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
2agpe140	LysoPE(0:0/14:0)	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines
2agpe160	LysoPE(0:0/16:0)	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines
2agpe180	LysoPE(0:0/18:0)	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines
2agpg180	2-Stearoylglycerophosphoglycerol	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoglycerols
2ahbut	(S)-2-Aceto-2-hydroxybutanoic acid	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
2ahethmpp	2-(a-Hydroxyethyl)thiamine diphosphate	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
2amac	2-Aminoacrylic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
2ameph	Ciliatine	Organic acids and derivatives	Organic phosphonic acids and derivatives	Organic phosphonic acids
2aobut	L-2-Amino-3-oxobutanoic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
2coum	Coumaric acid	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives
2coum	Cis-2-coumarate	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives
2ddg6p	2-Keto-3-deoxy-6-phosphogluconic acid	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives
2ddglcn	2-Keto-3-deoxy-D-gluconic acid	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives
2dr1p	Deoxyribose 1-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
2h34hppr	2-Hydroxy-3-(4-hydroxyphenyl)propenoic acid	Benzenoids	Benzene and substituted derivatives	Phenylpyruvic acid derivatives
2h3opp	Tartronate semialdehyde	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
2h3oppan	Tartronate semialdehyde	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
hop	Tartronate semialdehyde	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
2hb	2-Hydroxybutyric acid	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives
2hbut	2-Hydroxybutyric acid	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives
2hdecg3p	LysoPA(0:0/16:0)	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates
2hog	2-Hydroxyglutarate	Organic acids and derivatives	Hydroxy acids and derivatives	Short-chain hydroxy acids and derivatives
2hp6mp	2-Hexaprenyl-6-methoxyphenol	Lipids and lipid-like molecules	Prenol lipids	Polyprenylphenols
2hxmp	2-Hydroxybenzyl alcohol	Benzenoids	Benzene and substituted derivatives	Benzyl alcohols
2hymeph	2-Hydroxybenzyl alcohol	Benzenoids	Benzene and substituted derivatives	Benzyl alcohols
2hyoxplac	Ortho-Hydroxyphenylacetic acid	Benzenoids	Benzene and substituted derivatives	Phenylacetic acids
2ippm	Isopropylmaleate	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
2kmb	2-Oxo-4-methylthiobutanoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
4met2obut	2-Oxo-4-methylthiobutanoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
2maacoa	2-Methylacetoacetyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
2mb2coa	Tiglyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
2mb2coa	2-methylcrotonoyl-CoA(4-)	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
2mbac	2-Methylbutyl acetate	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives
2mbald	(±)-2-Methylbutanal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
2mbcoa	2-Methylbutyryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
2mbdhl	S-(2-Methylbutanoyl)-dihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
HC01376	S-(2-Methylbutanoyl)-dihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
2mbtoh	(S)-2-Methyl-1-butanol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
2mcacn	cis-2-Methylaconitate	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
2mcit	2-Methylcitric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
2mhob	2-Methyl-1-hydroxybutyl-ThPP	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
2mhop	2-Methyl-1-hydroxypropyl-ThPP	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
2mop	2-Methyl-3-oxopropanoic acid	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
2mp2coa	Methacrylyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
2mpdhl	S-(2-Methylpropionyl)-dihydrolipoamide-E	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides
2mppal	2-Methylpropanal	Organooxygen compounds	Carbonyl compounds	Aldehydes
2obut	2-Ketobutyric acid	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
2odecg3p	LysoPA(0:0/18:0)	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates
2ommbl	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol	Lipids and lipid-like molecules	Prenol lipids	Sesterterpenoids
2oxoadp	Oxoadipic acid	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives
2pcpgc	2-(3,4-Dihydroxybenzoyloxy)-4,6-dihydroxybenzoate	Phenylpropanoids and polyketides	Depsides and depsidones	
2pg	2-Phospho-D-glyceric acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
2pg	2-phosphonato-D-glycerate(3-)	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
2pglyc	Phosphoglycolic acid	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
2phetoh	2-Phenylethanol	Benzenoids	Benzene and substituted derivatives	
2ppoh	Isopropyl alcohol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
34dhbald	3,4-Dihydroxybenzaldehyde	Benzenoids	Benzene and substituted derivatives	Benzaldehydes
34dhbz	Protocatechuic acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
34dhcinm	Caffeic acid	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives
34dhcinm	3,4-Dihydroxy-trans-cinnamate	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives
34dhmald	3,4-Dihydroxymandelaldehyde	Benzenoids	Benzene and substituted derivatives	Phenylacetaldehydes
34dhoxpeg	3,4-Dihydroxyphenylglycol	Benzenoids	Phenols	Benzenediols
34dhpac	3,4-Dihydroxyphenylacetaldehyde	Benzenoids	Benzene and substituted derivatives	Phenylacetaldehydes
34dhpacet	3,4-Dihydroxybenzeneacetic acid	Benzenoids	Phenols	Benzenediols
34dhpha	3,4-Dihydroxybenzeneacetic acid	Benzenoids	Phenols	Benzenediols
34hpl	Hydroxyphenyllactic acid	Phenylpropanoids and polyketides	Phenylpropanoic acids	
34hpp	4-Hydroxyphenylpyruvic acid	Benzenoids	Benzene and substituted derivatives	Phenylpyruvic acid derivatives
35cgmp	Cyclic GMP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Cyclic purine nucleotides
36dahx	(3S)-3,6-Diaminohexanoate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
3aap	Acetamidopropanal	Organooxygen compounds	Carbonyl compounds	Aldehydes
3aib	(R)-b-aminoisobutyric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
3amba	3-Aminobutanoic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
3amp	3'-AMP	Nucleosides, nucleotides, and analogues	Ribonucleoside 3'-phosphates	
3c4mop	2-Isopropyl-3-oxosuccinate	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
3ddcrn	3-hydroxydodecanoyl carnitine	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters
3deccrn	3-hydroxydecanoyl carnitine	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters
3dh5hpb	3-Hexaprenyl-4,5-Dihydroxybenzoic acid	Lipids and lipid-like molecules	Prenol lipids	Polyprenylphenols
3dhguln	3-Dehydro-L-gulonate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
3dhq	3-Dehydroquinate	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives
3dsphgn	3-Dehydrosphinganine	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
3dsphgn	3-dehydrosphinganinium(1+)	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
3hadpcoa	(3S)-3-Hydroxyadipyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hadpcoa	3-Hydroxypentanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hanthrn	3-Hydroxyanthranilic acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
3hbcoa	(S)-3-Hydroxybutyryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hbycoa	(S)-3-Hydroxybutyryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hcinnm	m-Coumaric acid	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives
3hdcoa	(S)-Hydroxydecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hddcoa	3S-hydroxydodecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hexdcrn	3-Hydroxyhexadecanoylcarnitine	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives
3hexdcrn	3-hydroxyhexadecanoyl carnitine	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters
3hhcoa	(S)-Hydroxyhexanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hhcoa	3S-hydroxy-hexanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hhdcoa	3S-hydroxyhexadecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hib	(S)-3-Hydroxyisobutyric acid	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives
3hibutcoa	(S)-3-Hydroxyisobutyryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
hibcoa	(S)-3-Hydroxyisobutyryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hivcoa	3-Hydroxyisovaleryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hlido	3-Hydroxylidocaine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
3hmbcoa	2-Methyl-3-hydroxybutyryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hmp	3-hydroxy-2-isobutyrate	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives
3hocoa	(S)-Hydroxyoctanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hoxpac	3-Hydroxyphenylacetic acid	Benzenoids	Phenols	1-hydroxy-4-unsubstituted benzenoids
3hpcoa	3-hydroxypropanoyl-CoA(4-)	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hph5mb	3-Hexaprenyl-4-hydroxy-5-methoxybenzoic acid	Lipids and lipid-like molecules	Prenol lipids	Polyprenylphenols
3hpimcoa	3-Hydroxypimelyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hpp	Hydroxypropionic acid	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives
3hppnl	3-Hydroxypropanal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
3hpppn	3-(3-Hydroxyphenyl)propanoic acid	Phenylpropanoids and polyketides	Phenylpropanoic acids	
3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3hxkynam	3-Hydroxykynurenamine	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
3mb	Isovaleric acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
3mb2coa	3-Methylcrotonyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3mbald	Iso-Valeraldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
3mbzald	3-Methylbenzaldehyde	Benzenoids	Benzene and substituted derivatives	Benzoyl derivatives
3mgcoa	3-Methylglutaconyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3mhtpp	3-Methyl-1-hydroxybutyl-ThPP	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
3mob	alpha-Ketoisovaleric acid	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
3mox4hpac	Homovanillin	Benzenoids	Phenols	Methoxyphenols
3moxtyr	3-Methoxytyramine	Benzenoids	Phenols	Methoxyphenols
3mtp	3-Methylthiopropionic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
C08276	3-Methylthiopropionic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
mtpp	3-Methylthiopropionic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
3odcoa	3-Oxodecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3oddcoa	3-Oxododecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3oddcoa	3-oxo-dodecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3ohcoa	3-Oxohexanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3ohcoa	3-oxo-hexanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3ohdcoa	3-Oxohexadecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3ohodcoa	3-Oxooctadecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3ohxccoa	3-Oxohexacosyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3ohxccoa	3-Oxohexacosanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3ophb_5	3-Hexaprenyl-4-hydroxybenzoic acid	Lipids and lipid-like molecules	Prenol lipids	Polyprenylphenols
3otdcoa	3-Oxotetradecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
3oxoadp	3-Oxoadipic acid	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives
3pg	(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar acids and derivatives
3php	Phosphohydroxypyruvic acid	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
3sala	3-Sulfinoalanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
3sala	3-Sulfinato-L-alaninate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
3spyr	3-Sulfopyruvic acid	Organic acids and derivatives	Keto acids and derivatives	Alpha-keto acids and derivatives
3tdcrn	3-hydroxytetradecanoyl carnitine	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters
3uib	Ureidoisobutyric acid	Organic acids and derivatives	Organic carbonic acids and derivatives	Ureas
3ump	3'-UMP	Nucleosides, nucleotides, and analogues	Ribonucleoside 3'-phosphates	
46dhoxquin	4,6-Dihydroxyquinoline	Organoheterocyclic compounds	Quinolines and derivatives	Quinolones and derivatives
48dhoxquin	Quinoline-4,8-diol	Organoheterocyclic compounds	Quinolines and derivatives	Quinolones and derivatives
4aabutn	4-Acetamidobutanoic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
4abut	gamma-Aminobutyric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
4abutn	4-Aminobutyraldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
4abz	p-Aminobenzoic acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
4crsol	p-Cresol	Benzenoids	Phenols	Cresols
4fumacac	4-Fumarylacetoacetic acid	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives
4gudbutn	4-Guanidinobutanoic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
4h2oglt	4-Hydroxy-2-oxoglutaric acid	Organic acids and derivatives	Keto acids and derivatives	Gamma-keto acids and derivatives
4h3npac	4-hydroxy-3-nitrophenylacetate	Organic compounds	Benzenoids	Phenols
CE1957	4-hydroxy-3-nitrophenylacetate	Organic compounds	Benzenoids	Phenols
4hba	4-Hydroxybenzyl alcohol	Benzenoids	Benzene and substituted derivatives	Benzyl alcohols
4hbald	4-Hydroxybenzaldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
4hbz	4-Hydroxybenzoic acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
4hbzcoa	4-hydroxybenzoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
4hbzcoa	4-Hydroxybenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
4hglu	4-Hydroxy-L-glutamic acid	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives
4hglusa	L-4-Hydroxyglutamate semialdehyde	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
4hoxpac	p-Hydroxyphenylacetic acid	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids
4hoxpacd	4-Hydroxyphenylacetaldehyde	Benzenoids	Benzene and substituted derivatives	Phenylacetaldehydes
4hphac	4-Hydroxyphenyl acetate	Benzenoids	Phenol esters	
4izp	5-(2-carboxylatoethyl)-4-oxo-4,5-dihydro-1H-imidazol-5-ide	Organoheterocyclic compounds	Azoles	Imidazoles
4mbzalc	4-Methylbenzyl alcohol	Benzenoids	Benzene and substituted derivatives	Benzyl alcohols
4mbzald	4-Methylbenzaldehyde	Benzenoids	Benzene and substituted derivatives	Benzoyl derivatives
4mcat	4-Methylcatechol	Benzenoids	Phenols	Benzenediols
4mhetz	5-(2-Hydroxyethyl)-4-methylthiazole	Organoheterocyclic compounds	Azoles	Thiazoles
4mlacac	Maleylacetoacetic acid	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives
4mop	Ketoleucine	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
4mzym_int1	4-Methylzymosterol intermediate 1	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids
4mzym_int2	4-Methylzymosterol intermediate 2	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholestane steroids
4pasp	L-Aspartyl-4-phosphate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
4ppan	D-4'-Phosphopantothenate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
4ppan	(R)-4'-phosphonatopantothenate(3-)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
4tmeabutn	4-Trimethylammoniobutanoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
gbbtn	4-Trimethylammoniobutanoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
56dh5flura	5,6-Dihydro-5-fluorouracil	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
56dthm	Dihydrothymine	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
56dura	Dihydrouracil	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
5a2opntn	5-Amino-2-oxopentanoic acid	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
5aizc	5-Phosphoribosyl-4-carboxy-5-aminoimidazole	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
5aop	5-Aminolevulinic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
5apentam	5-Aminopentanamide	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
5aprbu	5-Amino-6-(5'-phosphoribitylamino)uracil	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
5aptn	5-Aminopentanoic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
5caiz	N5-Carboxyaminoimidazole ribonucleotide	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
